indicado,favoraveis,contrarios,abstencoes,ausencias,quorum
Ellen Gracie,23,0,0,0,23
Gilmar Mendes,16,6,0,1,23
Cezar Peluso,19,0,2,2,23
Ayres Britto,20,0,1,2,23
Joaquim Barbosa,21,0,0,2,23
Eros Grau,20,0,0,3,23
Ricardo Lewandowski,22,1,0,0,23
Cármen Lúcia,23,0,0,0,23
Menezes Direito,22,0,1,0,23
Dias Toffoli,20,3,0,0,23
Luiz Fux,23,0,0,0,23
Rosa Weber,19,3,0,1,23
Teori Zavascki,18,1,0,4,23
Luis Roberto Barroso,26,1,0,0,27
Edson Fachin,20,7,0,0,27
Alexandre de Moraes,19,7,0,1,27
Kássio Nunes Marques,22,5,0,0,27
André Mendonça,18,9,0,0,27
Cristiano Zanin,21,5,0,1,27
Flávio Dino,17,10,0,0,27
Jorge Messias,16,11,0,0,27
