indicado,pres_brasil_pessoa,pres_brasil_partido,pres_senado_pessoa,pres_senado_partido,pres_ccj_pessoa,pres_ccj_partido,relator_pessoa,relator_partido,fonte
Paulo Brossard,José Sarney,PMDB,Nelson Carneiro,PMDB,Alfredo Campos,PMDB,Mauro Benevides,PMDB,"BRASIL. Senado Federal. Relatório da Presidência. Referente aos trabalhos da 2ª Sessão Legislativa Ordinária da 48º Legislatura. Secretaria Geral da Mesa, Brasília, 1988."
Sepúlveda Pertence,José Sarney,PMDB,Nelson Carneiro,PMDB,Cid Sabóia de Carvalho,PMDB,Maurício Corrêa,PDT,"BRASIL. Senado Federal. Relatório da Presidência. Referente aos trabalhos da 3ª Sessão Legislativa Ordinária da 48º Legislatura. Secretaria Geral da Mesa, Brasília, 1989."
Celso de Mello,José Sarney,PMDB,Nelson Carneiro,PMDB,Cid Sabóia de Carvalho,PMDB,José Paulo Bisol,PSB,"BRASIL. Senado Federal. Relatório da Presidência. Referente aos trabalhos da 3ª Sessão Legislativa Ordinária da 48º Legislatura. Secretaria Geral da Mesa, Brasília, 1989."
Carlos Velloso,Fernando Collor de Mello,PRN,Nelson Carneiro,PMDB,Cid Sabóia de Carvalho,PMDB,Lourival Baptista,PFL,"BRASIL. Senado Federal. Relatório da Presidência. Referente aos trabalhos da 4ª Sessão Legislativa Ordinária e 3ª e 4ª Sessões Legislativas Extraordinárias da 48º Legislatura. Secretaria Geral da Mesa, Brasília, 1990."
Marco Aurélio de Mello,Fernando Collor de Mello,PRN,Nelson Carneiro,PMDB,Cid Sabóia de Carvalho,PMDB,Mauro Benevides,PMDB,"BRASIL. Senado Federal. Relatório da Presidência. Referente aos trabalhos da 4ª Sessão Legislativa Ordinária e 3ª e 4ª Sessões Legislativas Extraordinárias da 48º Legislatura. Secretaria Geral da Mesa, Brasília, 1990."
Ilmar Galvão,Fernando Collor de Mello,PRN,Mauro Benevides,PMDB,Nelson Carneiro,PMDB,Lourival Baptista,PFL,"BRASIL. Senado Federal. Relatório da Presidência. Referente aos trabalhos da 1ª Sessão Legislativa Ordinária da 49º Legislatura. Secretaria Geral da Mesa, Brasília, 1991."
Maurício Corrêa,Itamar Franco,Sem Partido,Humberto Lucena,PMDB,Iram Saraiva,PMDB,Francisco Rollemberg,PMN,"BRASIL. Senado Federal. Relatório da Presidência. Referente aos trabalhos da 4ª Sessão Legislativa Ordinária da 49º Legislatura. Secretaria Geral da Mesa, Brasília, 1994."
Nelson Jobim,Fernando Henrique Cardoso,PSDB,Antônio Carlos Magalhães,PFL,Bernardo Cabral,PFL,Pedro Simon,PMDB,"BRASIL. Senado Federal. Relatório da Presidência:Senado Federal e Congresso Nacional. Brasília, Senado Federal, Secretaria-Geral da Mesa, 1997."
Ellen Gracie,Fernando Henrique Cardoso,PSDB,Antônio Carlos Magalhães,PFL,José Agripino,PFL,José Fogaça,PMDB,"BRASIL. Senado Federal. Relatório da Presidência:Senado Federal e Congresso Nacional. Brasília, Senado Federal, Secretaria-Geral da Mesa, 2000."
Gilmar Mendes,Fernando Henrique Cardoso,PSDB,Ramez Tebet,PMDB,Bernardo Cabral,PFL,Lúcio Alcântara,PSDB,"BRASIL. Senado Federal. Relatório da Presidência:Senado Federal e Congresso Nacional. Brasília, Senado Federal, Secretaria-Geral da Mesa, 2002."
Cezar Peluso,Luiz Inácio Lula da Silva,PT,José Sarney,PMDB,Edison Lobão,PFL,João Alberto Souza,PMDB,"BRASIL. Senado Federal. Relatório da Presidência:Senado Federal e Congresso Nacional. Brasília, Senado Federal, Secretaria-Geral da Mesa, 2003."
Ayres Britto,Luiz Inácio Lula da Silva,PT,José Sarney,PMDB,Edison Lobão,PFL,Antônio Carlos Valadares,PSB,"BRASIL. Senado Federal. Relatório da Presidência:Senado Federal e Congresso Nacional. Brasília, Senado Federal, Secretaria-Geral da Mesa, 2003."
