indicado,favoraveis,contrarios,abstencoes,ausencias,quorum
Sepúlveda Pertence,50,1,1,29,81
Celso de Mello,47,3,1,30,81
Carlos Velloso,49,1,3,28,81
Marco Aurélio de Mello,50,3,1,27,81
Ilmar Galvão,48,0,0,33,81
Maurício Corrêa,48,3,0,30,81
Nelson Jobim,60,3,1,17,81
Ellen Gracie,67,0,2,12,81
Gilmar Mendes,57,15,0,9,81
Cezar Peluso,57,3,1,20,81
Ayres Britto,65,3,2,11,81
Joaquim Barbosa,66,3,1,11,81
Eros Grau,57,5,3,16,81
Ricardo Lewandowski,63,4,0,14,81
Cármen Lúcia,55,1,0,25,81
Menezes Direito,61,2,1,17,81
Dias Toffoli,58,9,3,11,81
Luiz Fux,68,2,0,11,81
Rosa Weber,57,14,1,9,81
Teori Zavascki,57,4,0,20,81
Luis Roberto Barroso,59,6,0,16,81
Edson Fachin,52,27,0,2,81
Alexandre de Moraes,55,13,0,13,81
Kássio Nunes Marques,57,10,1,13,81
André Mendonça,47,32,0,2,81
Cristiano Zanin,58,18,0,5,81
Flávio Dino,47,31,2,1,81
Jorge Messias,34,42,1,4,81
